epoch,phase,supervised_loss,physics_loss,total_loss,lr,batch_size,lambda_phys,model
1,phase1,0.7741491913795471,0,0.7741491913795471,0.001,8,0,bunny
2,phase1,0.6476179993152619,0,0.6476179993152619,0.001,8,0,bunny
3,phase1,0.5902292895317077,0,0.5902292895317077,0.001,8,0,bunny
4,phase1,0.4254885923862457,0,0.4254885923862457,0.001,8,0,bunny
5,phase1,0.2632673507928848,0,0.2632673507928848,0.001,8,0,bunny
6,phase1,0.2536006385087967,0,0.2536006385087967,0.001,8,0,bunny
7,phase1,0.1886444568634033,0,0.1886444568634033,0.001,8,0,bunny
8,phase1,0.16522114515304565,0,0.16522114515304565,0.001,8,0,bunny
9,phase1,0.11871199384331703,0,0.11871199384331703,0.001,8,0,bunny
10,phase1,0.0917009449005127,0,0.0917009449005127,0.001,8,0,bunny
11,phase1,0.08129490077495576,0,0.08129490077495576,0.001,8,0,bunny
12,phase1,0.07039679378271103,0,0.07039679378271103,0.001,8,0,bunny
13,phase1,0.05702226661145687,0,0.05702226661145687,0.001,8,0,bunny
14,phase1,0.05882471010088921,0,0.05882471010088921,0.001,8,0,bunny
15,phase1,0.060656595453619955,0,0.060656595453619955,0.001,8,0,bunny
16,phase1,0.05028315111994743,0,0.05028315111994743,0.001,8,0,bunny
17,phase1,0.04011418335139751,0,0.04011418335139751,0.001,8,0,bunny
18,phase1,0.04162591252475977,0,0.04162591252475977,0.001,8,0,bunny
19,phase1,0.03297627158463001,0,0.03297627158463001,0.001,8,0,bunny
20,phase1,0.02444025019183755,0,0.02444025019183755,0.001,8,0,bunny
21,phase1,0.022617599405348302,0,0.022617599405348302,0.001,8,0,bunny
22,phase1,0.020427769664674997,0,0.020427769664674997,0.001,8,0,bunny
23,phase1,0.018490471728146076,0,0.018490471728146076,0.001,8,0,bunny
24,phase1,0.018175202067941428,0,0.018175202067941428,0.001,8,0,bunny
25,phase1,0.017049284689128398,0,0.017049284689128398,0.001,8,0,bunny
26,phase1,0.015162577964365482,0,0.015162577964365482,0.001,8,0,bunny
27,phase1,0.01629326641559601,0,0.01629326641559601,0.001,8,0,bunny
28,phase1,0.01902364317327738,0,0.01902364317327738,0.001,8,0,bunny
29,phase1,0.01782452754676342,0,0.01782452754676342,0.001,8,0,bunny
30,phase1,0.013248426709324121,0,0.013248426709324121,0.001,8,0,bunny
31,phase1,0.012519300682470202,0,0.012519300682470202,0.001,8,0,bunny
32,phase1,0.010498327706009149,0,0.010498327706009149,0.001,8,0,bunny
33,phase1,0.010215543936938047,0,0.010215543936938047,0.001,8,0,bunny
34,phase1,0.012877439185976981,0,0.012877439185976981,0.001,8,0,bunny
35,phase1,0.011448610164225102,0,0.011448610164225102,0.001,8,0,bunny
36,phase1,0.009538253899663687,0,0.009538253899663687,0.001,8,0,bunny
37,phase1,0.008985074246302247,0,0.008985074246302247,0.001,8,0,bunny
38,phase1,0.009246058985590935,0,0.009246058985590935,0.001,8,0,bunny
39,phase1,0.010583917777985334,0,0.010583917777985334,0.001,8,0,bunny
40,phase1,0.010662704650312662,0,0.010662704650312662,0.001,8,0,bunny
41,phase1,0.012102988045662642,0,0.012102988045662642,0.001,8,0,bunny
42,phase1,0.009925107434391976,0,0.009925107434391976,0.001,8,0,bunny
43,phase1,0.010181622803211212,0,0.010181622803211212,0.001,8,0,bunny
44,phase1,0.009824604969471693,0,0.009824604969471693,0.001,8,0,bunny
45,phase1,0.0076742859557271,0,0.0076742859557271,0.001,8,0,bunny
46,phase1,0.00688781606964767,0,0.00688781606964767,0.001,8,0,bunny
47,phase1,0.006766834557056427,0,0.006766834557056427,0.001,8,0,bunny
48,phase1,0.007954050628468394,0,0.007954050628468394,0.001,8,0,bunny
49,phase1,0.00770570969209075,0,0.00770570969209075,0.001,8,0,bunny
50,phase1,0.007601670604199171,0,0.007601670604199171,0.001,8,0,bunny
51,phase1,0.007308888677507639,0,0.007308888677507639,0.001,8,0,bunny
52,phase1,0.005898749949410558,0,0.005898749949410558,0.001,8,0,bunny
53,phase1,0.005669572316110134,0,0.005669572316110134,0.001,8,0,bunny
54,phase1,0.006581724863499403,0,0.006581724863499403,0.001,8,0,bunny
55,phase1,0.007237851358950138,0,0.007237851358950138,0.001,8,0,bunny
56,phase1,0.006685332721099257,0,0.006685332721099257,0.001,8,0,bunny
57,phase1,0.007869559563696385,0,0.007869559563696385,0.001,8,0,bunny
58,phase1,0.006582115329802036,0,0.006582115329802036,0.001,8,0,bunny
59,phase1,0.005354437655769289,0,0.005354437655769289,0.001,8,0,bunny
60,phase1,0.005725029492750764,0,0.005725029492750764,0.001,8,0,bunny
1,phase2,0,0.024727646828978322,0.1893199682002887,0.001,8,0.5,bunny
2,phase2,0,0.02229728699065163,0.08572586327325553,0.001,8,0.5,bunny
3,phase2,0,0.02103805587401439,0.03509981753770262,0.001,8,0.5,bunny
4,phase2,0,0.021155442923191003,0.030308380215428768,0.001,8,0.5,bunny
5,phase2,0,0.02083261145380675,0.028028878017794343,0.001,8,0.5,bunny
6,phase2,0,0.020720713989212526,0.030293267709203063,0.001,8,0.5,bunny
7,phase2,0,0.02096370129969728,0.025672109886072575,0.001,8,0.5,bunny
8,phase2,0,0.02058374029380502,0.03372057438828051,0.001,8,0.5,bunny
9,phase2,0,0.021087358302102076,0.02763929865323007,0.001,8,0.5,bunny
10,phase2,0,0.0207114762756828,0.021995233744382857,0.001,8,0.5,bunny
11,phase2,0,0.020756188039304107,0.02210338187403977,0.001,8,0.5,bunny
12,phase2,0,0.02087502528062032,0.021463065347634255,0.001,8,0.5,bunny
13,phase2,0,0.02081807272596052,0.020175135454628616,0.001,8,0.5,bunny
14,phase2,0,0.02070656035182765,0.01948317686561495,0.001,8,0.5,bunny
15,phase2,0,0.020692466863183653,0.021272044151555747,0.001,8,0.5,bunny
16,phase2,0,0.02082690990820993,0.02396271057892591,0.001,8,0.5,bunny
17,phase2,0,0.020929236538431723,0.022167671313509343,0.001,8,0.5,bunny
18,phase2,0,0.020875760708222516,0.02278263002168387,0.001,8,0.5,bunny
19,phase2,0,0.020884560161066476,0.022199532757513227,0.001,8,0.5,bunny
20,phase2,0,0.020951984388448183,0.022016452299430965,0.001,8,0.5,bunny
21,phase2,0,0.021090201659390004,0.022402755683287978,0.001,8,0.5,bunny
22,phase2,0,0.020933828155539232,0.03346026558894664,0.001,8,0.5,bunny
23,phase2,0,0.02094754996258416,0.023628748594783245,0.001,8,0.5,bunny
24,phase2,0,0.020740255020718905,0.02073811799287796,0.001,8,0.5,bunny
25,phase2,0,0.02096372565611091,0.020595469917170702,0.001,8,0.5,bunny
26,phase2,0,0.020960416158050065,0.02116363161476329,0.001,8,0.5,bunny
27,phase2,0,0.02082209289750608,0.020516893165186047,0.001,8,0.5,bunny
28,phase2,0,0.020694144255685387,0.02106831643730402,0.001,8,0.5,bunny
29,phase2,0,0.020947725462610832,0.01830230804393068,0.001,8,0.5,bunny
30,phase2,0,0.02082721792146913,0.018842726415023207,0.001,8,0.5,bunny
