epoch,phase,supervised_loss,physics_loss,total_loss,lr,batch_size,lambda_phys,model
1,phase1,0.749837532043457,0,0.749837532043457,0.001,8,0,sphere
2,phase1,0.6589566397666932,0,0.6589566397666932,0.001,8,0,sphere
3,phase1,0.4879008984565735,0,0.4879008984565735,0.001,8,0,sphere
4,phase1,0.24745600938796997,0,0.24745600938796997,0.001,8,0,sphere
5,phase1,0.17645547926425934,0,0.17645547926425934,0.001,8,0,sphere
6,phase1,0.1362642900645733,0,0.1362642900645733,0.001,8,0,sphere
7,phase1,0.09816419720649719,0,0.09816419720649719,0.001,8,0,sphere
8,phase1,0.061446108892560004,0,0.061446108892560004,0.001,8,0,sphere
9,phase1,0.04976268231868744,0,0.04976268231868744,0.001,8,0,sphere
10,phase1,0.03701164737343788,0,0.03701164737343788,0.001,8,0,sphere
11,phase1,0.029850840196013452,0,0.029850840196013452,0.001,8,0,sphere
12,phase1,0.025714669302105905,0,0.025714669302105905,0.001,8,0,sphere
13,phase1,0.020077037140727044,0,0.020077037140727044,0.001,8,0,sphere
14,phase1,0.02060642022639513,0,0.02060642022639513,0.001,8,0,sphere
15,phase1,0.020325379706919194,0,0.020325379706919194,0.001,8,0,sphere
16,phase1,0.01642715509980917,0,0.01642715509980917,0.001,8,0,sphere
17,phase1,0.01708798427134752,0,0.01708798427134752,0.001,8,0,sphere
18,phase1,0.014598977994173765,0,0.014598977994173765,0.001,8,0,sphere
19,phase1,0.014039488621056079,0,0.014039488621056079,0.001,8,0,sphere
20,phase1,0.01379555743187666,0,0.01379555743187666,0.001,8,0,sphere
21,phase1,0.01341231464408338,0,0.01341231464408338,0.001,8,0,sphere
22,phase1,0.012908098232001066,0,0.012908098232001066,0.001,8,0,sphere
23,phase1,0.012237716019153595,0,0.012237716019153595,0.001,8,0,sphere
24,phase1,0.01142948493361473,0,0.01142948493361473,0.001,8,0,sphere
25,phase1,0.010745082730427385,0,0.010745082730427385,0.001,8,0,sphere
26,phase1,0.010954536385834218,0,0.010954536385834218,0.001,8,0,sphere
27,phase1,0.011130796764045953,0,0.011130796764045953,0.001,8,0,sphere
28,phase1,0.011605664230883122,0,0.011605664230883122,0.001,8,0,sphere
29,phase1,0.011623193752020597,0,0.011623193752020597,0.001,8,0,sphere
30,phase1,0.012619971008971333,0,0.012619971008971333,0.001,8,0,sphere
31,phase1,0.010780142582952977,0,0.010780142582952977,0.001,8,0,sphere
32,phase1,0.010399067308753729,0,0.010399067308753729,0.001,8,0,sphere
33,phase1,0.012330087069422006,0,0.012330087069422006,0.001,8,0,sphere
34,phase1,0.011036333208903671,0,0.011036333208903671,0.001,8,0,sphere
35,phase1,0.01147652193903923,0,0.01147652193903923,0.001,8,0,sphere
36,phase1,0.012085626497864724,0,0.012085626497864724,0.001,8,0,sphere
37,phase1,0.012101777158677577,0,0.012101777158677577,0.001,8,0,sphere
38,phase1,0.009621398439630866,0,0.009621398439630866,0.001,8,0,sphere
39,phase1,0.01051597566343844,0,0.01051597566343844,0.001,8,0,sphere
40,phase1,0.011507843863219023,0,0.011507843863219023,0.001,8,0,sphere
41,phase1,0.009899311540648341,0,0.009899311540648341,0.001,8,0,sphere
